NUM,Site,SiteNum,SITE_ID,SingleCollection,NewOld,NumCollections,ParsonsCollectionSheets,NumCollectionsAtSite,MissingCollections ,Notes,TempSite,Surveyor,Collections,East,North,Long,Lat,SurvReg,SurvRegNum,N_TX,TX,E_IX_Surrounds,XO_W_IX,CH_XO_IX,CH,CH_AM,Tenango,IX,IX_Surrounds,Confed,Pol_EA_num,Pol_LA_num,Pol_EA,Pol_LA,Collections,CA_Size1,CA_Size2,Occu_EA,Occu_LA,Area_EA,Pop_EA,Area_LA,Pop_LA,BO_AzI_CHA,BO_AzI_MIX,BO_AzI_CUL,BO_AzI_WST,BO_AzI_IND,BO_AzI_TOT,BO_PDM_A,BO_PDM_A1,BO_PDM_A2,BO_PDM_A3,BO_PDM_A1c,BO_PDM_A2c,BO_PDM_A3c,BO_PDM_A1g,BO_PDM_A2g,BO_PDM_A3g,BO_PDM_A1_TOT,BO_PDM_A2_TOT,BO_PDM_A3_TOT,BO_PDM_Ac_TOT,BO_PDM_Ag_TOT,BO_PDM_A_TOT,BO_PDM_B,BO_PDM_B1,BO_PDM_B2,BO_PDM_B_TOT,BO_PD_C,BO_PDM_IND_EA,BO_BOWL_A,BO_BOWL_A1,BO_BOWL_A2,BO_BOWL_A3,BO_BOWL_A4,BO_BOWL_A_TOT,BO_BOWL_B,BO_BOWL_C,BO_BOWL_G1,BO_BOWL_M,BO_BOWL_IND_EA,BO_BAS_A,BO_BAS_B,BO_BAS_C,BO_BAS_IND_EA,BO_A_TOT,BO_B_TOT,BO_C_TOT,AzII_BO,BO_PD_D,BO_PDM_D1D2,BO_PDM_D3,BO_PD_D4,BO_PDM_D_TOT,BO_PDM_E,BO_PDM_E1,BO_PDM_E2,BO_PDM_E3,BO_PDM_E4,BO_PDM_E_TOT,BO_PDM_F,BO_PDM_GR,BO_PDM_IND_LA,BO_DISH_P,BO_BOWL_D,BO_BOWL_E,BO_BOWL_F,BO_BOWL_G2,BO_BOWL_H,BO_BOWL_IND_LA,BO_BAS_D,BO_BAS_E,BO_BAS_F,BO_BAS_G,BO_BAS_H,BO_BAS_IND_LA,BO_PDM_IND,BO_BOWL_IND,BO_BAS_IND,BO_D_TOT,Az23_BO,BO_E_TOT,BO_F_TOT,BO_BowHBasG_TOT,AzIII_BO,AzIV_BO,CCPC_A,CCPC_B,CCPC_C,CCPC_D,CCPC_H,CCPC_I,CCPC_J,CCPC_K,AZPC_E,AZPC_F,AZPC_G,AZPC_L,BR_A,BR_B,BR_D,BR_E,BR_F,BR_G,BR_H,BR_I,BR_COPA_D,BR_EA_TOT,PR_COPA,BWR_AW,BWR_AW1,BWR_AW2,BWR_AW_TOT,BWR_AN,BWR_AN1,BWR_AN2,BWR_AN_TOT,BWR_A_TOT,BWR_B,BWR_B1,BWR_B2,BWR_B_TOT,BWR_C,BWR_C1,BWR_C2,BWR_C_TOT,BWR_D1,BWR_D2,BWR_D3,BWR_D_TOT,BWR_E1,BWR_E2,BWR_E3,BWR_E4,BWR_E_TOT,BWR_EA_TOT,BRI_A,BRI_B,BRI_C,BRI_D,BRI_PANEL,BRI_CANE,BRI_TOT,BR_C,BR_Late,BWR_Late,BWR_G,YR,BWYR,WR,GR,BRT
17,TX-A-27,27,1027,FALSE,Old,4,4,4,0,,TX-A-27,MHP 1967,"Tls. 554, 567, 569, 575",522460.1552,2165124.347,-98.78584787,19.58094963,TX,1,1,1,0,0,0,0,0,0,0,0,Acolhua,1,1,Tepetlaoztoc,Tepetlaoztoc,4,1358,1358,1,1,17,150,17,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,7,0,7,1,4,0,1,1,0,0,2,0,0,1,0,0,0,2,1,0,3,8,2,18,2,31,21,0,54,5,18,5,0,0,28,2,0,35,0,0,2,0,0,0,0,0,3,0,0,0,0,1,1,2,54,54,33,2,0,68,2,0,0,0,0,1,0,0,0,0,3,3,1,0,4,1,0,0,2,0,0,0,7,1,2,1,4,7,1,0,0,1,8,4,3,0,7,0,3,1,4,2,0,0,2,1,0,0,0,1,22,0,0,0,0,0,0,0,83,2,0,1,1,1,0,0,6
18,TX-A-28,28,1028,FALSE,Old,6,6,6,0,,TX-A-28,MHP 1967,"Loc. 14; Tls. 590, 806, 808, 845, 852",523816.4379,2165124.347,-98.77291612,19.58093381,TX,1,1,1,0,0,0,0,0,0,0,0,Acolhua,1,1,Tepetlaoztoc,Tepetlaoztoc,6,224,224,1,1,75,600,75,1200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,2,0,9,0,9,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,3,2,10,1,18,0,22,15,1,38,4,5,2,0,0,11,4,5,42,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,38,38,12,4,0,55,9,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,2,1,0,2,3,0,0,0,0,3,4,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,24,0,1,0,0,0,0,0,9
19,TX-A-30,30,1030,FALSE,Old,7,7,7,0,,TX-A-30,MHP 1967,"Tls. 695, 712, 727, 752, 754, 760, 791",524358.951,2163651.811,-98.76776249,19.56761985,TX,1,1,1,0,0,0,0,0,0,0,0,Acolhua,1,1,Tepetlaoztoc,Tepetlaoztoc,7,713,713,1,1,100,1000,100,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,14,2,2,0,0,0,0,0,0,0,0,0,0,0,1,6,2,3,1,16,4,26,0,32,27,0,59,5,4,1,0,0,10,4,7,30,0,1,1,0,0,0,1,0,1,0,0,0,0,9,0,1,60,60,12,4,0,43,11,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,3,0,2,1,4,7,0,0,0,0,7,1,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,52,2,0,2,0,0,0,0,1
20,TX-A-31,31,1031,FALSE,Old,4,4,4,0,,TX-A-31,MHP 1967,"Tls. 632, 635, 665, 670",524229.7812,2162631.37,-98.76900712,19.55839965,TX,1,1,1,0,0,0,0,0,0,0,0,Acolhua,1,1,Tepetlaoztoc,Tepetlaoztoc,4,733,733,1,1,50,350,50,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,1,5,0,11,8,0,19,4,11,5,2,0,22,4,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,19,19,22,4,0,31,17,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,2,2,0,0,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,29,0,0,1,0,0,0,1,2
21,TX-A-34,34,1034,TRUE,Old,1,1,1,0,,TX-A-34,MHP 1967,Tl. 771,523222.2569,2163845.566,-98.77859724,19.56938445,TX,1,1,1,0,0,0,0,0,0,0,0,Acolhua,1,1,Tepetlaoztoc,Tepetlaoztoc,1,491,491,1,1,6,60,6,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,5,1,8,8,0,17,1,4,1,0,0,6,2,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,17,7,2,0,12,2,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,1,0,0,0,0,0,4,0,2,2,0,4,0,0,0,0,4,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,17,0,0,1,0,0,0,0,0
22,TX-A-36,36,1036,TRUE,Old,1,1,1,0,,TX-A-36,MHP 1967,Loc. 13,522356.8194,2163496.808,-98.78685249,19.56624263,TX,1,1,1,0,0,0,0,0,0,0,0,Acolhua,1,1,Tepetlaoztoc,Tepetlaoztoc,1,177,177,1,1,1,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,7,1,11,8,0,20,7,3,2,0,1,13,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,13,0,0,22,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
23,TX-A-38,38,1038,FALSE,Old,2,2,2,0,,TX-A-38,MHP 1967,"Tl. 511, 515",520251.3519,2163148.049,-98.80692945,19.56311346,TX,1,1,1,0,0,0,0,0,0,0,0,Acolhua,1,1,Tepetlaoztoc,Tepetlaoztoc,2,689,689,1,1,65,325,65,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,10,4,0,14,1,2,2,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,14,5,1,0,6,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
24,TX-A-40,40,1040,FALSE,Old,8,11,8,3,,TX-A-40,MHP 1967,"Loc. 9; Tls. 103, 105, 111, 115, 369, 370, 378",517816.5015,2163096.381,-98.83014302,19.56266987,TX,1,1,1,0,0,0,0,0,0,0,0,Acolhua,1,1,Tepetlaoztoc,Tepetlaoztoc,8,4566,4566,1,1,100,1500,100,1500,2,0,0,0,0,2,0,2,0,0,1,5,0,2,7,0,5,12,0,6,9,17,0,19,6,25,5,28,0,1,3,0,0,4,0,7,1,1,0,4,3,2,1,25,27,14,97,0,47,26,3,76,8,20,2,0,0,30,1,0,29,0,0,1,1,0,1,0,0,1,1,0,0,0,2,0,0,76,76,32,3,1,62,3,1,0,0,0,2,0,1,0,3,2,0,0,0,12,5,0,0,0,0,0,0,17,3,8,7,4,19,2,1,4,7,26,11,18,1,30,2,5,0,7,3,2,2,7,0,0,3,0,3,73,0,1,0,0,3,0,4,32,0,0,17,0,1,0,0,0
,TX-A-40b,40.1,,FALSE,NEW,3,,,-3,Not technically part of TX-A-40; Formative site atop cerro,TX-A-40,MHP 1967,Tl. 123; Tl. 119; Just SW of Tl. 119,517816.5015,2163096.381,-98.83014302,19.56266987,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TX-A-40c,40.2,,FALSE,NEW,6,,,-6,,TX-A-40,MHP 1967,"Samples #370, 372, 375; Loc. 9; Tls. 388, 390",517816.5015,2163096.381,-98.83014302,19.56266987,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,TX-A-42,42,1042,TRUE,Old,1,1,1,0,,TX-A-42,JRP 1967,Tl. 2,504163.2555,2156327.885,-98.9603237,19.50157745,TX,1,1,1,0,0,0,0,0,0,0,0,Acolhua,3,3,Texcoco,Texcoco,1,177,177,0,1,0,0,2,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
26,TX-A-43,43,1043,TRUE,Old,1,1,1,0,,TX-A-43,JRP 1967,Tl. 1,505274.1156,2154299.919,-98.94974273,19.48324769,TX,1,1,1,0,0,0,0,0,0,0,0,Acolhua,3,3,Texcoco,Texcoco,1,177,177,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,TX-A-44,44,1044,TRUE,Old,1,1,1,0,,TX-A-44,JRP 1967,1 collection without location #,506746.6511,2155462.447,-98.93570674,19.49374925,TX,1,1,1,0,0,0,0,0,0,0,0,Acolhua,3,3,Texcoco,Texcoco,1,500,333,1,1,2,40,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,TX-A-46,46,1046,FALSE,Old,2,3,2,1,,TX-A-46,JRP 1967,"Loc. 7, Tl. 4",508651.9054,2155798.289,-98.9175488,19.49677696,TX,1,1,1,0,0,0,0,0,0,0,0,Acolhua,3,3,Texcoco,Texcoco,2,480,480,0,1,0,0,20,200,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,3,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
,TX-A-46b,46.5,,FALSE,NEW,1,,,-1,,TX-A-46,JRP 1967,Tl. 5,508651.9054,2155798.289,-98.9175488,19.49677696,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,TX-A-47,47,1047,TRUE,Old,1,1,1,0,,TX-A-47,JRP 1967,Tl. 6,507851.0528,2157270.824,-98.92517466,19.51008784,TX,1,1,1,0,0,0,0,0,0,0,0,Acolhua,3,3,Texcoco,Texcoco,1,185,100,0,1,0,0,5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30,TX-A-49,49,1049,TRUE,Old,1,1,1,0,,TX-A-49,JRP 1967,Tl. 1A,509620.6788,2157542.081,-98.90830768,19.51253147,TX,1,1,1,0,0,0,0,0,0,0,0,Acolhua,3,3,Texcoco,Texcoco,1,243,300,0,1,0,0,25,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,3,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,3,0,5,15,0,0,1,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3
31,TX-A-52,52,1052,TRUE,Old,1,1,1,0,,TX-A-52,JRP 1967,Tl. 8,510227.7768,2153873.659,-98.90254143,19.47937625,TX,1,1,1,0,0,0,0,0,0,0,0,Acolhua,4,4,Huexotla,Huexotla,1,150,150,1,1,3,60,3,60,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,3,0,0,3,4,0,4,3,7,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,4,9,3,18,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,5,0,0,0,0,5,2,5,0,7,0,0,0,0,0,0,3,3,0,0,0,0,0,15,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0
32,TX-A-53,53,1053,TRUE,Old,1,1,1,0,,TX-A-53,JRP 1967,Tl. 12,510964.0445,2152904.885,-98.89553129,19.47061733,TX,1,1,1,0,0,0,0,0,0,0,0,Acolhua,4,4,Huexotla,Huexotla,1,314,314,1,1,25,500,25,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,4,0,4,8,0,12,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,2,0,3,0,0,0,0,1,0,0,1,1,0,0,0,1,6,0,0,0,0,0,0,0,17,2,0,1,0,0,0,1,0
33,TX-A-56,56,1056,FALSE,Old,8,9,8,1,Tl. 17 is the missing collection but it has 2 sheets; one is included; the missing sheet may be included in the HM data,TX-A-56,JRP 1967,"Locs. A, I, J; Tls. 17, 18, 57, 69, 92",512559.2914,2157606.666,-98.8803001,19.51309878,TX,1,1,1,0,0,0,0,0,0,0,0,Acolhua,3,3,Texcoco,Texcoco,8,7208,7208,1,1,450,12000,450,25000,0,0,0,0,1,1,0,1,1,1,2,5,1,1,9,1,4,15,3,8,11,22,0,10,3,13,2,12,1,5,2,0,0,8,1,7,0,0,0,3,4,0,1,33,14,9,69,8,50,44,0,102,22,18,13,1,2,56,5,12,42,0,2,0,1,1,2,0,0,1,0,0,0,1,5,2,1,104,104,57,6,2,103,18,0,1,2,0,1,0,0,0,5,0,6,0,12,32,13,0,1,3,1,1,0,63,8,14,12,7,33,4,1,1,6,39,16,32,4,52,1,8,3,12,19,1,18,38,8,8,0,0,16,157,1,0,2,0,2,3,9,104,1,4,37,0,2,0,4,1
,TX-A-56b,56.5,,FALSE,NEW,1,,,-1,Tl. 17 is the missing collection but it has 2 sheets; one is included; the missing sheet may be included in the HM data,TX-A-56,JRP 1967,Tl. 17,512559.2914,2157606.666,-98.8803001,19.51309878,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,TX-A-57,57,1057,FALSE,Old,4,4,4,0,,TX-A-57,JRP 1967,"Loc. F; Tls. 66, 69, 70",515969.3736,2156030.794,-98.84781273,19.49883295,TX,1,1,1,0,0,0,0,0,0,0,0,Acolhua,3,3,Texcoco,Texcoco,4,10887,10887,1,1,50,200,50,400,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,8,2,10,0,2,0,1,0,0,0,1,0,0,0,0,0,1,2,1,0,3,11,1,17,0,22,9,0,31,9,8,4,1,0,22,10,2,9,0,0,1,0,0,0,0,0,0,1,0,0,0,5,0,0,31,31,23,11,0,32,13,0,0,0,0,0,0,0,0,0,3,2,0,0,1,3,0,0,0,0,0,0,4,1,1,2,3,6,0,0,0,0,6,1,4,0,5,0,0,0,0,2,0,1,3,0,0,0,0,0,14,0,0,0,0,0,0,0,50,3,1,8,0,1,0,2,1
35,TX-A-58,58,1058,TRUE,Old,1,1,1,0,,TX-A-58,JRP 1967,Tl. 1,517319.1979,2154984.519,-98.8349586,19.48936632,TX,1,1,1,0,0,0,0,0,0,0,0,Acolhua,3,3,Texcoco,Texcoco,1,237,352,1,1,100,250,100,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0
36,TX-A-59,59,1059,FALSE,Old,4,4,4,0,,TX-A-59,JRP 1967,"Tls. 4, 8, 9, 25",518920.9032,2154532.425,-98.8196999,19.48526612,TX,1,1,1,0,0,0,0,0,0,0,0,Acolhua,3,3,Texcoco,Texcoco,4,560,560,1,1,75,375,75,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,1,24,0,13,2,0,15,2,1,1,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,15,15,4,0,0,6,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,2,0,1,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,20,0,0,0,0,1,0,0,0
37,TX-A-60,60,1060,TRUE,Old,1,1,1,0,,TX-A-60,JRP 1967,Tl. 42,520522.6085,2154919.934,-98.80443288,19.48875227,TX,1,1,1,0,0,0,0,0,0,0,0,Acolhua,3,3,Texcoco,Texcoco,1,250,250,1,1,20,100,20,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,7,1,5,2,0,0,8,2,9,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,9,2,0,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,19,0,0,0,0,0,0,1,0
38,TX-A-61,61,1061,TRUE,Old,1,1,1,0,,TX-A-61,JRP 1967,Loc. AA,519838.0086,2154894.1,-98.81095691,19.48852573,TX,1,1,1,0,0,0,0,0,0,0,0,Acolhua,3,3,Texcoco,Texcoco,1,625,625,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,4,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,6,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0
39,TX-A-64,64,1064,FALSE,Old,3,4,3,1,Tl. 76 is the missing collection but it has 2 sheets; one is included; the missing sheet may be included in the HM data,TX-A-64,JRP 1967,"Tls. 76, 80-82, 96",516815.4357,2157503.33,-98.83973672,19.51213352,TX,1,1,1,0,0,0,0,0,0,0,0,Acolhua,3,3,Texcoco,Texcoco,3,1334,1334,1,1,35,200,35,400,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,0,16,8,0,24,5,6,2,1,0,14,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,24,14,2,0,27,3,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,17,0,0,4,0,0,0,2,1
,TX-A-64b,64.5,,FALSE,NEW,1,,,-1,Tl. 76 is the missing collection but it has 2 sheets; one is included; the missing sheet may be included in the HM data,TX-A-64,JRP 1967,Tl. 76,516815.4357,2157503.33,-98.83973672,19.51213352,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,TX-A-65,65,1065,FALSE,Old,3,3,3,0,,TX-A-65,JRP 1967,"Loc. P; Tls. 100, 109",517848.794,2157606.666,-98.82988712,19.51305839,TX,1,1,1,0,0,0,0,0,0,0,0,Acolhua,3,3,Texcoco,Texcoco,3,677,677,1,1,25,150,25,300,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,2,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,2,0,6,1,2,2,0,5,2,4,0,0,0,6,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5,6,0,0,10,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,1,1,2,0,0,0,0,2,1,3,0,4,2,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
